circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,banjara hills,banjara hills,film nagar,balreddy nagar,general purpose,7,3,3.0,352.0,3.0
banjara hills,banjara hills,banjara hills,film nagar,d.d.n - vinayak nagar,general purpose,7,2,2.0,0.0,2.0
banjara hills,banjara hills,banjara hills,film nagar,govt services,general purpose,7,5,5.0,61.0,22.0
banjara hills,banjara hills,banjara hills,film nagar,grc,general purpose,7,1,1.0,6471.0,40.0
banjara hills,banjara hills,banjara hills,film nagar,grc high values rdno-12,general purpose,7,3,3.0,12072.0,145.0
banjara hills,banjara hills,banjara hills,film nagar,grc-film ngr-mla colony,general purpose,7,1,1.0,1855.0,35.0
banjara hills,banjara hills,banjara hills,film nagar,gyani jail singh nagar,general purpose,7,1,1.0,5.0,1.0
banjara hills,banjara hills,banjara hills,film nagar,"j hills,78,79,80,81,82",general purpose,7,1,2.0,0.0,1.0
banjara hills,banjara hills,banjara hills,film nagar,jubilee hills road no.92,general purpose,7,2,2.0,445.0,6.0
banjara hills,banjara hills,banjara hills,film nagar,m l a colony,general purpose,7,2,2.0,533.0,2.0
banjara hills,banjara hills,banjara hills,film nagar,m.g nagar,general purpose,7,3,3.0,239.0,4.0
banjara hills,banjara hills,banjara hills,film nagar,mrnc colony,general purpose,7,3,1.0,265.0,3.0
banjara hills,banjara hills,banjara hills,film nagar,n b t nagar,general purpose,7,1,1.0,8.0,1.0
banjara hills,banjara hills,banjara hills,film nagar,pension ofic to rdno-12 s.s,general purpose,7,4,4.0,2283.0,16.0
banjara hills,banjara hills,banjara hills,film nagar,prashasan nagar,general purpose,7,1,1.0,257.0,5.0
banjara hills,banjara hills,banjara hills,film nagar,sriramnagar,general purpose,7,4,4.0,846.0,8.0
banjara hills,banjara hills,banjara hills,film nagar,syed nagar,general purpose,7,1,1.0,472.0,0.3
banjara hills,banjara hills,banjara hills,film nagar,trs bhavan to ministers qrters,general purpose,7,3,2.0,648.0,7.0
banjara hills,banjara hills,jubilee hills,jubilee hills,grc high values,general purpose,7,3,3.0,6716.0,44.0
banjara hills,banjara hills,jubilee hills,jubilee hills,guttala begumpet,general purpose,7,2,1.0,346.0,2.0
banjara hills,banjara hills,jubilee hills,jubilee hills,highvalue,general purpose,7,5,5.0,9395.0,95.0
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee bills  54 to 60,general purpose,7,2,2.0,0.0,6.0
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd no. 10 to 15,general purpose,7,1,1.0,989.0,0.8
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd nos. 26 to 35,general purpose,7,3,3.0,3153.0,18.0
banjara hills,banjara hills,jubilee hills,jubilee hills,jubille hills rd no. 16 to 22,general purpose,7,1,1.0,139.0,1.0
banjara hills,banjara hills,jubilee hills,jubilee hills,kakateeya hills,general purpose,7,1,1.0,138.0,2.0
banjara hills,banjara hills,jubilee hills,jubilee hills,mastannagar rd.no.46,general purpose,7,3,3.0,15.0,3.0
banjara hills,banjara hills,jubilee hills,jubilee hills,net metering,general purpose,7,1,1.0,0.0,8.0
banjara hills,banjara hills,jubilee hills,madhapur,"cyber tower area,patrikanagar",general purpose,7,1,1.0,74.0,12.0
banjara hills,banjara hills,jubilee hills,madhapur,"kavuri hills(d-mart),amar coop",general purpose,7,2,2.0,570.0,6.0
banjara hills,banjara hills,jubilee hills,madhapur,"kumar basti,nectar garden",general purpose,7,1,1.0,30.0,5.0
banjara hills,banjara hills,jubilee hills,madhapur,my homes apartments,general purpose,7,1,1.0,0.0,5.0
banjara hills,banjara hills,jubilee hills,madhapur,street light,general purpose,7,2,2.0,2627.0,10.0
banjara hills,banjara hills,jubilee hills,madhapur,"vadara basti,megha,sriram tank",general purpose,7,2,2.0,994.0,8.0
banjara hills,green lands,sanath nagar,borabanda,allapur-i,general purpose,7,4,4.0,2243.0,6.0
banjara hills,green lands,sanath nagar,borabanda,arogya nagar,general purpose,7,2,2.0,1546.0,10.0
banjara hills,green lands,sanath nagar,borabanda,babbuguda,general purpose,7,3,3.0,366.0,7.0
banjara hills,green lands,sanath nagar,borabanda,brahma shankar nagar,general purpose,7,2,2.0,0.0,2.0
banjara hills,green lands,sanath nagar,borabanda,grc hv borabanda,general purpose,7,2,2.0,1055.0,25.0
banjara hills,green lands,sanath nagar,borabanda,jyothi nagar - i,general purpose,7,1,1.0,42.0,1.0
banjara hills,green lands,sanath nagar,borabanda,karmika nagar (n),general purpose,7,3,1.0,551.0,7.0
banjara hills,green lands,sanath nagar,borabanda,karmika nagar ii,general purpose,7,4,4.0,515.0,3.3
banjara hills,green lands,sanath nagar,borabanda,n.r.r.puram site - iii,general purpose,7,2,1.0,241.0,3.0
banjara hills,green lands,sanath nagar,borabanda,n.r.r.puram-iii (w),general purpose,7,1,1.0,163.0,2.4
banjara hills,green lands,sanath nagar,borabanda,natco school,general purpose,7,4,4.0,194.0,4.0
banjara hills,green lands,sanath nagar,borabanda,nava bharath nagar,general purpose,7,2,2.0,473.0,2.0
banjara hills,green lands,sanath nagar,borabanda,peddamma nagar,general purpose,7,1,2.0,0.0,1.0
banjara hills,green lands,sanath nagar,borabanda,prathibha nagar,general purpose,7,1,1.0,196.0,1.0
banjara hills,green lands,sanath nagar,borabanda,rajeevgandhi nagar,general purpose,7,2,1.0,2.0,2.0
banjara hills,green lands,sanath nagar,borabanda,rama rao nagar,general purpose,7,1,1.0,147.0,0.5
banjara hills,green lands,sanath nagar,borabanda,shivaji nagar,general purpose,7,1,2.0,0.0,1.0
banjara hills,green lands,sanath nagar,borabanda,snehapuricolony ii,general purpose,7,1,1.0,31.0,1.0
banjara hills,green lands,sanath nagar,mothi nagar,h.f.nagar,general purpose,7,1,1.0,206.0,5.0
banjara hills,green lands,sanath nagar,mothi nagar,h.f.nagar-ii,general purpose,7,5,4.0,634.0,10.28
banjara hills,green lands,sanath nagar,mothi nagar,indira nagar,general purpose,7,4,4.0,219.0,4.79
banjara hills,green lands,sanath nagar,mothi nagar,kalyan nagar (w),general purpose,7,1,1.0,2283.0,8.0
banjara hills,green lands,sanath nagar,mothi nagar,karmika nagar (s),general purpose,7,1,1.0,434.0,0.25
banjara hills,green lands,sanath nagar,mothi nagar,madhura nagar,general purpose,7,2,2.0,386.0,2.0
banjara hills,green lands,sanath nagar,mothi nagar,n.r.r.puram -i (s),general purpose,7,3,3.0,707.0,5.0
banjara hills,green lands,sanath nagar,mothi nagar,n.r.r.puram site - ii,general purpose,7,2,1.0,500.0,2.0
banjara hills,green lands,sanath nagar,mothi nagar,n.r.r.puram site -i,general purpose,7,1,1.0,45.0,0.4
banjara hills,green lands,sanath nagar,mothi nagar,n.r.r.puram-iii (w),general purpose,7,3,3.0,302.0,7.0
banjara hills,green lands,sanath nagar,mothi nagar,prabhath nagar,general purpose,7,2,1.0,707.0,4.0
banjara hills,green lands,sanath nagar,mothi nagar,raj nagar,general purpose,7,2,1.0,30.0,2.0
banjara hills,green lands,sanath nagar,mothi nagar,"rajeenagar,fatimanagar",general purpose,7,2,2.0,397.0,2.0
banjara hills,green lands,sanath nagar,mothi nagar,s.r.t.nagar,general purpose,7,2,1.0,222.0,10.0
banjara hills,green lands,sanath nagar,mothi nagar,saibaba nagar,general purpose,7,2,2.0,287.0,6.0
banjara hills,green lands,sanath nagar,mothi nagar,sri ram nagar,general purpose,7,2,2.0,714.0,10.0
banjara hills,green lands,sanath nagar,mothi nagar,sri ram nagar (e),general purpose,7,1,1.0,98.0,1.0
banjara hills,green lands,sanath nagar,mothi nagar,sri ram nagar (n),general purpose,7,2,2.0,1255.0,2.0
banjara hills,green lands,sanath nagar,mothi nagar,t.anjayya nagar,general purpose,7,1,1.0,177.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,allauddin koti,general purpose,7,2,1.0,464.0,1.26
banjara hills,green lands,sanath nagar,sanathnagar,ashok labour colony,general purpose,7,2,2.0,227.0,5.0
banjara hills,green lands,sanath nagar,sanathnagar,b.k.guda (hb),general purpose,7,1,1.0,39.0,3.0
banjara hills,green lands,sanath nagar,sanathnagar,bharatnagar ews (s),general purpose,7,1,2.0,0.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,bharatnagar mig,general purpose,7,3,3.0,-261.0,3.0
banjara hills,green lands,sanath nagar,sanathnagar,bharatnagar pvt houses,general purpose,7,1,1.0,389.0,0.5
banjara hills,green lands,sanath nagar,sanathnagar,ct meters,general purpose,7,7,7.0,18571.0,214.0
banjara hills,green lands,sanath nagar,sanathnagar,czech colony,general purpose,7,2,2.0,1210.0,4.0
banjara hills,green lands,sanath nagar,sanathnagar,d.n.m.colony,general purpose,7,3,3.0,691.0,6.96
banjara hills,green lands,sanath nagar,sanathnagar,grc hv sanathnagar,general purpose,7,8,8.0,10680.0,135.0
banjara hills,green lands,sanath nagar,sanathnagar,h.p.road,general purpose,7,2,2.0,1611.0,10.0
banjara hills,green lands,sanath nagar,sanathnagar,jayaprakash nagar,general purpose,7,1,1.0,124.0,5.0
banjara hills,green lands,sanath nagar,sanathnagar,kukatpally x roads,general purpose,7,1,1.0,205.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,nehru nagar,general purpose,7,1,1.0,225.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,ravindra nagar,general purpose,7,1,1.0,11.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,s.r.t qrts near hylam,general purpose,7,2,2.0,128.0,6.0
banjara hills,green lands,sanath nagar,sanathnagar,"s.r.t.qrts, near busstop",general purpose,7,1,1.0,6.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,sanath nagar,general purpose,7,3,3.0,1001.0,11.0
banjara hills,green lands,sanath nagar,sanathnagar,street lights,general purpose,7,1,1.0,107.0,1.0
banjara hills,green lands,sanath nagar,sanathnagar,subash nagar,general purpose,7,2,2.0,268.0,6.0
cybercity,gachibowli,gachibowli,gachibowli,telecom nagar,general purpose,7,4,3.0,545.0,15.0
cybercity,gachibowli,gachibowli,gachibowli,tngos hyderabad,general purpose,7,1,1.0,316.0,5.0
cybercity,gachibowli,gachibowli,taranagar,bapu nagar lingampally,general purpose,7,3,3.0,1701.0,4.0
cybercity,gachibowli,gachibowli,taranagar,chanda nagar hv,general purpose,7,1,1.0,0.0,1.0
