circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,GENERAL PURPOSE,7,1,1.0,432.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,GENERAL PURPOSE,7,2,1.0,3435.0,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,GENERAL PURPOSE,7,3,3.0,3402.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,I.G.PURAM,GENERAL PURPOSE,7,3,1.0,603.0,6.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,LEELA NAGAR  ,GENERAL PURPOSE,7,9,9.0,1337.0,36.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S R NAGAR NORTH B TYPE ,GENERAL PURPOSE,7,3,3.0,291.0,7.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (SOUTH),GENERAL PURPOSE,7,2,2.0,112.0,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR,GENERAL PURPOSE,7,2,2.0,733.0,1.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR (SOUTH),GENERAL PURPOSE,7,2,2.0,644.0,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAK NAGAR,GENERAL PURPOSE,7,2,2.0,41.0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAKRAO NAGAR,GENERAL PURPOSE,7,1,,0.0,0.48
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,GENERAL PURPOSE,7,1,1.0,7.0,20.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,GENERAL PURPOSE,7,3,3.0,3995.0,15.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTINAGAR (NORTH),GENERAL PURPOSE,7,1,1.0,191.0,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NATRAJ NAGAR,GENERAL PURPOSE,7,1,1.0,166.0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR,GENERAL PURPOSE,7,1,1.0,288.0,0.68
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA,GENERAL PURPOSE,7,1,1.0,26.0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW SHASTRY NAGAR,GENERAL PURPOSE,7,1,1.0,396.0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PANDURANGA NAGAR,GENERAL PURPOSE,7,1,1.0,341.0,4.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR,GENERAL PURPOSE,7,1,1.0,160.0,0.32
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,S.N.R.CO-OP SOCIETY,GENERAL PURPOSE,7,2,2.0,140.0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (B),GENERAL PURPOSE,7,1,,0.0,0.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTHAN NAGAR II,GENERAL PURPOSE,7,1,1.0,673.0,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,VENKATESWARA COLONY,GENERAL PURPOSE,7,1,1.0,979.0,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ZEHRA GULSHAN BAGH,GENERAL PURPOSE,7,1,1.0,0.0,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BABA SAILANI NAGAR,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BANJARA NAGAR (SOUTH),GENERAL PURPOSE,7,1,1.0,22.0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BHARAT NAGAR,GENERAL PURPOSE,7,1,1.0,1484.0,8.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BRAHMA SHANKAR NAGAR,GENERAL PURPOSE,7,1,1.0,238.0,1.0
